Seed,Name,Perfection,Shield Strength,Health,LS Tanks,SP Power,Drain,Sprint
32302,Released Exhaust,0.271,29%,33%,39%,2%,,
32303,Extinguished Stasis Tank,0.003,,,,2%,,
32304,Doomed Exhaust,0.013,,,,,7%,
32305,Rescued Exhaust,0.195,33%,,12%,,7%,17%
32306,Rescued Harvester,0.152,,,,46%,,
32307,Anomalous Dampener,0.106,,,49%,,,
32308,Salvaged Stabiliser,0.25,,33%,,,,
32309,Anointed Dampener,0.01,,,9%,,,
32310,Extinguished Harvester,0.174,,33%,,,12%,
32311,Released Dampener,0.03,,33%,7%,4%,6%,
32312,Impossible Diffuser,0.038,,,5%,,15%,
32313,Forsaken Harmoniser,0.101,,,,31%,,
32314,Relinquished Exhaust,0.25,,33%,,,,
32315,Nanite-Marked Diffuser,0.466,31%,33%,,41%,,
32316,Non-compliant Dynamo,0.704,31%,,,64%,8%,42%
32317,Impossible Bulwark,0.05,,,26%,,,
32318,Glassy Turbine,0.008,,,,2%,,11%
32319,Relinquished Stasis Tank,0.23,33%,,,,,
32320,Relinquished Diffuser,0.312,33%,33%,,,,17%
32321,Polymorphous Harmoniser,0.103,,,48%,,,
32322,Released Dynamo,0.092,,,,,,28%
32323,Aeronic Battery,0.281,,,62%,,,39%
32324,Glassy Dampener,0.12,22%,,,,,
32325,Polymorphous Exhaust,0.058,,,29%,,,
32326,Cursed Loom,0.375,,,109%,11%,,10%
32327,Extinguished Stabiliser,0.13,23%,,,,,
32328,Forsaken Turbine,0.152,,,,46%,,
32329,Anointed Loom,0.179,,,,54%,,
32330,Salvaged Filter,0.01,11%,,,,,
32331,Anomalous Dynamo,0.356,25%,,46%,,20%,
32332,Haunted Exhaust,0.024,,33%,,,6%,
32333,Haunted Diffuser,0.123,,33%,,2%,19%,
32334,Salvaged Capacitor,0.317,,,,54%,,35%
32335,Released Regulator,0.029,,,17%,,,
32336,Aeronic Regulator,0.061,,33%,12%,5%,,12%
32337,Impossible Diffuser,0.003,,,,2%,,
32338,Impossible Harvester,0.091,,,,28%,,
32339,Cursed Energy Field,0.07,17%,,,,,
32340,Cursed Energy Field,0.049,,33%,,5%,6%,12%
32341,Anomalous Shield Tanks,0.387,27%,33%,,24%,11%,
32342,Polymorphous Shield Tanks,0.295,31%,,54%,,,10%
32343,Nanite-Marked Exhaust,0.423,31%,33%,,,,
32344,Rescued Shield Tanks,0.201,11%,33%,,26%,,
32345,Nanite-Marked Harvester,0.196,31%,,19%,11%,,14%
32346,Nanite-Marked Energy Field,0.144,,,65%,,,
32347,Nanite-Marked Harmoniser,0.169,32%,33%,12%,5%,,
32348,Aeronic Exhaust,0.091,,33%,16%,6%,7%,
32349,Extinguished Harmoniser,0.153,,33%,,23%,,
32350,Glassy Dampener,0.24,34%,,,,,
32351,Anointed Capacitor,0.194,,,,,,48%
32352,Anointed Bulwark,0.23,33%,,,,,
32353,Haunted Shield Tanks,0,,,5%,,,
32354,Nanite-Marked Loom,0.138,,,,,,37%
32355,Polymorphous Shield Tanks,0.091,,33%,8%,13%,8%,
32356,Glassy Shield Tanks,0.06,16%,,,,,
32357,Anomalous Dynamo,0.014,,,,5%,,
32358,Extinguished Generator,0.155,33%,,7%,8%,8%,
32359,Extinguished Bulwark,0.127,,33%,19%,,8%,15%
32360,Extinguished Filter,0.255,,33%,9%,37%,,27%
32361,Non-compliant Heat Sink,0.013,,33%,,2%,,
32362,Crimson Dampener,0.248,,33%,56%,,,
32363,Nanite-Marked Energy Field,0.065,,,,10%,,17%
32364,Watery Loom,0.21,31%,,,,,
32365,Doomed Dampener,0.171,,,,,19%,
32366,Watery Turbine,0.25,,33%,,,,
32367,Haunted Stabiliser,0.176,,33%,23%,,,27%
32368,Non-compliant Battery,0.082,,,6%,,,34%
32369,Rescued Generator,0.23,33%,,,,,
32370,Watery Turbine,0.25,,33%,,,,
32371,Haunted Battery,0.321,28%,33%,,,,23%
32372,Cursed Bulwark,0.24,34%,,,,,
32373,Glassy Battery,0.25,,33%,,,,
32374,Impossible Generator,0.37,,33%,,,,46%
32375,Non-compliant Generator,0.105,,,,,14%,
32376,Non-compliant Dynamo,0,,,,,,10%
32377,Anomalous Diffuser,0.606,34%,33%,85%,,,
32378,Rescued Heat Sink,0.404,30%,33%,,,,
32379,Released Regulator,0,,,,,6%,
32380,Rescued Harmoniser,0.217,32%,33%,,6%,,14%
32381,Forsaken Dampener,0.155,,,,47%,,
32382,Cursed Turbine,0.112,20%,,,13%,,
32383,Extinguished Capacitor,0.584,,33%,87%,,23%,11%
32384,Doomed Heat Sink,0.163,,,,,,42%
32385,Writhing Harmoniser,0.013,,,,,7%,
32386,Non-compliant Filter,0.17,27%,,,,,
32387,Salvaged Battery,0.118,,,,36%,,
32388,Polymorphous Capacitor,0.25,,33%,,,,
32389,Polymorphous Shield Tanks,0.159,31%,33%,10%,,,11%
32390,Watery Battery,0.118,,,,36%,,
32391,Haunted Heat Sink,0.077,,,24%,,6%,
32392,Non-compliant Loom,0.082,,,,,12%,15%
32393,Released Stasis Tank,0.441,24%,,105%,,,
32394,Aeronic Dynamo,0.216,,,95%,,,
32395,Forsaken Harvester,0.04,14%,,,,,
32396,Haunted Regulator,0.12,22%,,,,,
32397,Non-compliant Load Balancer,0.057,,,,18%,,
32398,Cursed Bulwark,0.25,,33%,,,,
32399,Anointed Heat Sink,0.221,33%,33%,,3%,6%,
32400,Non-compliant Diffuser,0.172,,,,52%,,
32401,Salvaged Diffuser,0.24,34%,,,,,
32402,Forsaken Loom,0.02,,,,7%,,
32403,Anomalous Bulwark,0.183,,,,,8%,33%
32404,Extinguished Filter,0.005,,,,,,11%
32405,Released Heat Sink,0.075,,33%,15%,,8%,10%
32406,Writhing Generator,0.237,,,,,24%,
32407,Relinquished Load Balancer,0.177,31%,33%,9%,,6%,
32408,Extinguished Shield Tanks,0.149,34%,,15%,3%,,11%
32409,Nanite-Marked Stasis Tank,0.145,,,,44%,,
32410,Crimson Stabiliser,0.163,31%,,,6%,6%,11%
32411,Released Dampener,0.101,,,47%,,,
32412,Doomed Dynamo,0.083,31%,,5%,,,
32413,Relinquished Filter,0.062,,,31%,,,
32414,Non-compliant Energy Field,0.231,34%,33%,12%,,8%,
32415,Impossible Exhaust,0.182,,,,,6%,35%
32416,Polymorphous Stabiliser,0.28,34%,,,21%,6%,
32417,Impossible Stabiliser,0.211,,,,,22%,
32418,Haunted Filter,0.336,14%,33%,,2%,,54%
32419,Relinquished Load Balancer,0.094,,,34%,,,10%
32420,Nanite-Marked Generator,0.013,,,,,7%,
32421,Anomalous Battery,0.094,,,12%,11%,8%,14%
32422,Anomalous Generator,0.14,24%,,,,,
32423,Released Stasis Tank,0.112,,,,,,32%
32424,Salvaged Generator,0.25,,33%,,,,
32425,Anomalous Load Balancer,0.163,,,,,16%,22%
32426,Extinguished Loom,0.026,,,16%,,,
32427,Aeronic Energy Field,0,,,,,6%,
32428,Forsaken Dampener,0.017,,,,6%,,
32429,Extinguished Loom,0.115,,,53%,,,
32430,Nanite-Marked Bulwark,0.003,,,,2%,,
32431,Salvaged Dampener,0.25,,,,75%,,
32432,Rescued Harmoniser,0.238,34%,33%,,8%,,13%
32433,Rescued Heat Sink,0.013,,,,,7%,
32434,Salvaged Dampener,0,,,,,,10%
32435,Haunted Exhaust,0.174,,33%,,,12%,
32436,Polymorphous Load Balancer,0.25,,33%,,,,
32437,Cursed Energy Field,0.205,32%,,,11%,6%,12%
32438,Anointed Heat Sink,0.23,33%,,,,,
32439,Nanite-Marked Dampener,0.17,27%,,,,,
32440,Glassy Regulator,0,,,,,,10%
32441,Relinquished Energy Field,0,,,,,6%,
32442,Crimson Loom,0.041,,,22%,,,
32443,Anomalous Diffuser,0.22,32%,,,,,
32444,Haunted Loom,0.007,,,,3%,,
32445,Doomed Dynamo,0.078,,,,24%,,
32446,Watery Regulator,0.155,33%,33%,7%,6%,,
32447,Rescued Capacitor,0.14,,33%,,,,23%
32448,Released Generator,0.196,,,,59%,,
32449,Non-compliant Energy Field,0.169,25%,,,8%,9%,13%
32450,Anomalous Stasis Tank,0.026,,,,,,15%
32451,Doomed Dynamo,0,,,,,6%,
32452,Writhing Dynamo,0.294,19%,33%,46%,,,
32453,Salvaged Capacitor,0.18,28%,,,,,
32454,Rescued Exhaust,0.002,,,6%,,,
32455,Glassy Battery,0.529,,33%,,62%,9%,21%
32456,Impossible Battery,0.24,34%,,,,,
32457,Released Loom,0.218,32%,33%,17%,10%,,
32458,Salvaged Loom,0.497,34%,,,53%,,32%
32459,Impossible Generator,0.092,,,,,13%,
32460,Doomed Harvester,0.25,,33%,,,,
32461,Anomalous Harmoniser,0.046,,,24%,,,
32462,Writhing Filter,0.035,,33%,6%,6%,6%,
32463,Haunted Shield Tanks,0.233,,,102%,,,
32464,Anomalous Dampener,0.02,,,,,,14%
32465,Watery Heat Sink,0.032,,33%,,4%,6%,
32466,Anomalous Dynamo,0.02,,33%,5%,4%,6%,
32467,Extinguished Filter,0.25,,33%,,,,
32468,Cursed Shield Tanks,0.002,,,6%,,,
32469,Anomalous Capacitor,0.25,,33%,,,,
32470,Polymorphous Harvester,0.472,34%,33%,,,,32%
32471,Doomed Dampener,0.015,,,,,,13%
32472,Glassy Exhaust,0.081,,33%,14%,5%,8%,
32473,Polymorphous Harmoniser,0.264,33%,33%,,10%,,16%
32474,Salvaged Dampener,0.144,,,65%,,,
32475,Forsaken Capacitor,0.105,,,,,14%,
32476,Forsaken Bulwark,0.473,24%,,63%,57%,,
32477,Relinquished Stabiliser,0.278,34%,33%,19%,,8%,
32478,Impossible Battery,0.237,31%,33%,,10%,,14%
32479,Crimson Battery,0.122,,,,,,34%
32480,Glassy Battery,0.077,,,,3%,18%,
32481,Writhing Dampener,0.091,,33%,,6%,,19%
32482,Polymorphous Regulator,0.003,,,,2%,,
32483,Non-compliant Regulator,0.014,,33%,7%,,,
32484,Aeronic Bulwark,0.432,25%,,95%,13%,,
32485,Released Regulator,0.115,15%,33%,,,,
32486,Extinguished Capacitor,0.088,,,,27%,,
32487,Watery Generator,0.549,29%,,75%,,25%,
32488,Salvaged Filter,0.25,,33%,,,,
32489,Released Dampener,0.062,,33%,5%,2%,16%,
32490,Writhing Stabiliser,0.28,18%,33%,,,,29%
32491,Relinquished Loom,0.542,,33%,90%,,10%,
32492,Aeronic Loom,0.03,13%,,,,,
32493,Rescued Exhaust,0.219,,,96%,,,
32494,Aeronic Filter,0.041,,,,,,18%
32495,Impossible Generator,0.333,10%,,,32%,,45%
32496,Haunted Regulator,0.026,,,,,8%,
32497,Crimson Stabiliser,0.498,34%,33%,,,11%,
32498,Doomed Filter,0.095,,,,29%,,
32499,Anointed Dampener,0.206,,,,62%,,
32500,Writhing Generator,0.622,29%,33%,,64%,,
32501,Released Stasis Tank,0.25,,33%,,,,
32502,Impossible Heat Sink,0.047,,,,15%,,
32503,Doomed Filter,0.179,,,,,,45%
32504,Impossible Stasis Tank,0.25,,33%,,,,
32505,Anomalous Filter,0.159,,,35%,,15%,
32506,Impossible Bulwark,0.43,28%,,98%,,,
32507,Watery Capacitor,0.23,33%,,,,,
32508,Crimson Harvester,0.11,21%,,,,,
32509,Relinquished Dynamo,0,,,,,6%,
32510,Crimson Turbine,0.026,,,,,,15%
32511,Anointed Filter,0.077,,,,,,25%
32512,Glassy Filter,0.25,,33%,,,,
32513,Glassy Stasis Tank,0.187,,,22%,,,50%
32514,Released Load Balancer,0.364,28%,,,,20%,
32515,Non-compliant Battery,0.057,,,19%,,6%,
32516,Forsaken Capacitor,0.026,,,,,8%,
32517,Salvaged Energy Field,0.101,,33%,18%,10%,,10%
32518,Rescued Turbine,0.161,26%,,16%,,,21%
32519,Doomed Stabiliser,0.25,,33%,,,,
32520,Writhing Capacitor,0.029,,,17%,,,
32521,Haunted Energy Field,0.459,33%,,90%,,,11%
32522,Nanite-Marked Dynamo,0.397,34%,,,,17%,
32523,Non-compliant Filter,0.343,,,,,6%,57%
32524,Anomalous Diffuser,0.111,,,,34%,,
32525,Salvaged Turbine,0,,,,,,10%
32526,Anomalous Load Balancer,0.226,33%,33%,14%,,,17%
32527,Writhing Dampener,0.115,,,53%,,,
32528,Non-compliant Exhaust,0.037,,,,12%,,
32529,Released Harmoniser,0.234,34%,33%,20%,,,
32530,Nanite-Marked Turbine,0.293,,,28%,51%,10%,
32531,Glassy Diffuser,0.037,,,,12%,,
32532,Salvaged Exhaust,0.014,,,11%,,,
32533,Haunted Filter,0.324,33%,,,42%,,
32534,Cursed Exhaust,0.105,,,,32%,,
32535,Polymorphous Capacitor,0.147,23%,,,,6%,
32536,Anointed Shield Tanks,0.005,,33%,5%,,,
32537,Crimson Bulwark,0.21,31%,,,,,
32538,Aeronic Battery,0.224,,,,,23%,
32539,Doomed Load Balancer,0,10%,,,,6%,
32540,Relinquished Filter,0.039,,,,,9%,
32541,Rescued Load Balancer,0.728,34%,33%,,63%,6%,
32542,Released Harvester,0.039,,,,,9%,
32543,Writhing Diffuser,0.128,,,,39%,,
32544,Nanite-Marked Regulator,0.295,26%,33%,30%,19%,,
32545,Glassy Stasis Tank,0.224,,,,,23%,
32546,Salvaged Diffuser,0.244,31%,33%,,10%,,15%
32547,Extinguished Turbine,0.064,,,,20%,,
32548,Rescued Generator,0.267,32%,33%,,,6%,12%
32549,Doomed Harmoniser,0,,,,,6%,
32550,Nanite-Marked Energy Field,0.032,,,,6%,7%,
32551,Watery Loom,0,,,,,6%,
32552,Anointed Diffuser,0,,,5%,,,
32553,Anomalous Heat Sink,0.384,29%,33%,,,,
32554,Anomalous Turbine,0.25,,33%,,,,
32555,Forsaken Capacitor,0.397,34%,,,,17%,
32556,Forsaken Load Balancer,0.066,,,,,11%,
32557,Crimson Battery,0.099,,33%,,,9%,
32558,Nanite-Marked Battery,0.03,,,,10%,,
32559,Salvaged Diffuser,0.007,,,,3%,,
32560,Released Loom,0.481,34%,33%,,,,
32561,Haunted Load Balancer,0.1,20%,,,,,
32562,Forsaken Turbine,0.044,,33%,6%,3%,,16%
32563,Nanite-Marked Battery,0.332,,,102%,,,15%
32564,Impossible Loom,0.233,,,,70%,,
32565,Polymorphous Exhaust,0.23,33%,,,,,
32566,Watery Harvester,0.077,,,,,,25%
32567,Crimson Diffuser,0.347,,,,65%,7%,
32568,Haunted Turbine,0.078,,,,24%,,
32569,Salvaged Energy Field,0.178,,,,,20%,20%
32570,Watery Generator,0.314,,,14%,57%,23%,
32571,Rescued Harmoniser,0.24,34%,,,,,
32572,Nanite-Marked Regulator,0.051,,,,,,20%
32573,Non-compliant Harvester,0.052,,33%,9%,,6%,14%
32574,Crimson Turbine,0.267,,,86%,,,11%
32575,Writhing Generator,0.28,31%,33%,,16%,,
32576,Crimson Loom,0.233,,,,70%,,
32577,Doomed Diffuser,0.23,33%,,,,,
32578,Watery Stabiliser,0.126,,,,10%,,32%
32579,Doomed Filter,0.461,33%,33%,,,,
32580,Haunted Exhaust,0.187,,,21%,,6%,37%
32581,Impossible Energy Field,0.041,,,22%,,,
32582,Haunted Energy Field,0.064,,,,20%,,
32583,Nanite-Marked Exhaust,0.175,,,78%,,,
32584,Relinquished Load Balancer,0.145,,,,,17%,
32585,Impossible Loom,0.014,,,11%,,,
32586,Watery Turbine,0.15,25%,,,,,
32587,Rescued Exhaust,0.19,29%,,,,,
32588,Nanite-Marked Regulator,0.647,,33%,,66%,,51%
32589,Released Dampener,0.181,16%,,35%,,6%,
32590,Nanite-Marked Battery,0.016,,,,5%,,10%
32591,Non-compliant Stasis Tank,0.012,,,10%,,,
32592,Impossible Energy Field,0.17,27%,,,,,
32593,Aeronic Battery,0.172,32%,,27%,,,
32594,Cursed Filter,0,,,5%,,,
32595,Doomed Load Balancer,0.03,13%,,,4%,,
32596,Polymorphous Dampener,0.053,,,,,10%,
32597,Cursed Harmoniser,0.25,,33%,,,,
32598,Salvaged Diffuser,0,,,,,6%,
32599,Cursed Diffuser,0.056,,,,,,21%
32600,Cursed Harmoniser,0.183,32%,33%,,2%,,
32601,Impossible Regulator,0.235,,,,,,56%
32602,Writhing Capacitor,0.017,,,5%,,10%,
32603,Relinquished Heat Sink,0.102,,,,,,30%
32604,Released Shield Tanks,0.214,,,,,,52%
32605,Polymorphous Loom,0.206,34%,,,4%,7%,16%
32606,Non-compliant Diffuser,0.115,,,20%,27%,,
32607,Nanite-Marked Harmoniser,0.25,,33%,,,,
32608,Writhing Load Balancer,0.204,34%,,21%,,6%,
32609,Doomed Dampener,0.089,,33%,,4%,13%,
32610,Relinquished Filter,0.03,13%,,,,,
32611,Writhing Loom,0.414,34%,33%,,,6%,
32612,Released Stasis Tank,0.166,34%,,19%,,,11%
32613,Crimson Diffuser,0.272,,,62%,,16%,
32614,Cursed Diffuser,0.184,,,,,20%,
32615,Crimson Load Balancer,0.376,33%,,,50%,,12%
32616,Anointed Regulator,0.24,34%,,,,,
32617,Glassy Capacitor,0.034,,,,11%,,
32618,Rescued Diffuser,0.25,,33%,,,,
32619,Polymorphous Dampener,0.25,,33%,,,,
32620,Forsaken Harvester,0.051,,,,,,20%
32621,Polymorphous Regulator,0.118,,,,36%,,
32622,Forsaken Harmoniser,0.175,,,78%,,,
32623,Haunted Stasis Tank,0.106,10%,,,20%,,12%
32624,Anointed Diffuser,0,,,,,,10%
32625,Impossible Generator,0.184,,,,,,46%
32626,Writhing Energy Field,0,,,,,,10%
32627,Released Stasis Tank,0.005,,,,,,11%
32628,Polymorphous Load Balancer,0.365,28%,33%,,,,
32629,Extinguished Harvester,0.254,32%,33%,,7%,7%,
32630,Non-compliant Stasis Tank,0.237,,,,,24%,
32631,Polymorphous Loom,0.214,,33%,,26%,7%,
32632,Polymorphous Dampener,0.096,,,45%,,,
32633,Extinguished Battery,0.014,,,11%,,,
32634,Aeronic Filter,0.25,,33%,,,,
32635,Glassy Shield Tanks,0.271,32%,33%,,10%,6%,
32636,Aeronic Heat Sink,0.25,,33%,,,,
32637,Aeronic Shield Tanks,0.194,,,,,,48%
32638,Non-compliant Battery,0.132,,,37%,16%,,
32639,Nanite-Marked Stabiliser,0.169,32%,,12%,8%,7%,
32640,Nanite-Marked Stasis Tank,0.342,33%,,40%,,13%,12%
32641,Doomed Loom,0.122,,,,37%,,
32642,Glassy Exhaust,0.091,,,,28%,,
32643,Crimson Battery,0.263,34%,33%,,7%,6%,
32644,Released Capacitor,0.105,,33%,19%,8%,,12%
32645,Relinquished Filter,0.071,,33%,19%,,,
32646,Watery Bulwark,0.007,,,,3%,,
32647,Aeronic Harvester,0.162,,,,49%,,
32648,Impossible Exhaust,0.25,,33%,,,,
32649,Anomalous Bulwark,0.16,26%,,,,,
32650,Impossible Harmoniser,0.12,,,55%,,,
32651,Crimson Heat Sink,0.171,,,,33%,6%,
32652,Nanite-Marked Stabiliser,0.25,,33%,,,,
32653,Relinquished Generator,0.22,33%,33%,,6%,,
32654,Polymorphous Energy Field,0.23,,,,69%,,
32655,Watery Filter,0.25,,33%,,,,
32656,Aeronic Dampener,0.18,28%,,,,,
32657,Cursed Loom,0.007,,,,3%,,
32658,Non-compliant Diffuser,0.437,30%,,,23%,,54%
32659,Writhing Harvester,0.027,,,,9%,,
32660,Polymorphous Turbine,0.101,,,,31%,,
32661,Glassy Regulator,0.25,,33%,,,,
32662,Non-compliant Filter,0.003,,,,2%,,
32663,Glassy Harvester,0.216,17%,,,,18%,
32664,Impossible Generator,0.25,,33%,,,,
32665,Relinquished Dampener,0.111,,,,8%,6%,24%
32666,Cursed Stabiliser,0.081,,33%,9%,,8%,17%
32667,Crimson Exhaust,0.092,,,,,,28%
32668,Crimson Dynamo,0.277,,,83%,,,17%
32669,Forsaken Heat Sink,0.23,33%,33%,,3%,7%,
32670,Relinquished Regulator,0.01,,,,4%,,
32671,Crimson Turbine,0.047,,,,15%,,
32672,Salvaged Harmoniser,0.237,,,,36%,15%,
32673,Rescued Capacitor,0.122,,,,,,34%
32674,Anointed Diffuser,0.25,,33%,,,,
32675,Watery Load Balancer,0.041,,,6%,5%,7%,14%
32676,Aeronic Energy Field,0.25,,33%,,,,
32677,Watery Battery,0.097,,,,,,29%
32678,Watery Bulwark,0.007,,,,3%,,
32679,Watery Harmoniser,0.414,34%,33%,,,6%,
32680,Forsaken Stabiliser,0.193,,,,58%,,
32681,Crimson Regulator,0.012,,,10%,,,
32682,Writhing Load Balancer,0.141,,33%,21%,,,22%
32683,Rescued Heat Sink,0.099,,33%,,,9%,
32684,Watery Shield Tanks,0.69,10%,33%,,,24%,56%
32685,Aeronic Loom,0.236,,,,71%,,
32686,Polymorphous Heat Sink,0.208,32%,33%,19%,6%,,
32687,Doomed Bulwark,0.016,,,7%,,8%,
32688,Nanite-Marked Shield Tanks,0.208,33%,33%,15%,9%,,
32689,Rescued Harvester,0.281,23%,,33%,,20%,
32690,Extinguished Battery,0.06,,33%,,,,15%
32691,Aeronic Diffuser,0.041,,,,13%,,
32692,Released Battery,0.096,,,45%,,,
32693,Impossible Capacitor,0.113,,,52%,,,
32694,Non-compliant Energy Field,0.149,32%,,21%,,,
32695,Anointed Loom,0.102,,,5%,,,41%
32696,Glassy Generator,0.327,11%,33%,49%,22%,,
32697,Extinguished Harmoniser,0.2,30%,,,,,
32698,Relinquished Heat Sink,0.283,33%,,,,8%,
32699,Aeronic Dampener,0.133,,,,,,36%
32700,Anointed Energy Field,0.204,33%,33%,11%,,,16%
32701,Released Energy Field,0.095,33%,,6%,,,
32702,Extinguished Turbine,0.05,15%,,,,,
32703,Polymorphous Heat Sink,0.014,,,11%,,,
32704,Aeronic Dynamo,0,,,,,6%,
32705,Nanite-Marked Energy Field,0.155,,,,47%,,
32706,Cursed Heat Sink,0.244,,,6%,60%,10%,
32707,Glassy Energy Field,0.414,32%,,5%,71%,,22%
32708,Impossible Generator,0.02,,,,,,14%
32709,Released Energy Field,0.097,,,,,,29%
32710,Relinquished Diffuser,0.24,34%,,,,,
32711,Polymorphous Diffuser,0.073,,,7%,17%,,14%
32712,Salvaged Stasis Tank,0.144,,33%,20%,,8%,17%
32713,Cursed Battery,0.012,,,10%,,,
32714,Nanite-Marked Capacitor,0,,,5%,,,
32715,Aeronic Capacitor,0.05,15%,,,,,
32716,Watery Regulator,0.25,,33%,,,,
32717,Aeronic Regulator,0.343,,33%,76%,,,
32718,Rescued Battery,0.25,,33%,,,,
32719,Crimson Bulwark,0.179,,,,,,45%
32720,Forsaken Heat Sink,0.05,15%,,,,,
32721,Haunted Capacitor,0.08,18%,,,,,
32722,Nanite-Marked Bulwark,0.25,,33%,,,,
32723,Haunted Turbine,0.153,33%,,18%,3%,,10%
32724,Extinguished Capacitor,0.199,,,,34%,,26%
32725,Nanite-Marked Regulator,0.115,,,53%,,,
32726,Extinguished Battery,0,,,,,6%,
32727,Nanite-Marked Diffuser,0.068,,,,21%,,
32728,Salvaged Regulator,0.015,,,,,,13%
32729,Watery Loom,0.25,,33%,,,,
32730,Haunted Regulator,0,,,5%,,,
32731,Polymorphous Harvester,0.24,34%,,,,,
32732,Anomalous Turbine,0.209,33%,33%,11%,,,17%
32733,Anointed Bulwark,0.24,34%,,,,,
32734,Doomed Dynamo,0.118,,,,,15%,
32735,Anointed Dampener,0.25,,33%,,,,
32736,Anomalous Regulator,0.005,,33%,5%,,,
32737,Aeronic Bulwark,0.248,,,,2%,7%,55%
32738,Anointed Stabiliser,0.213,15%,,55%,,,
32739,Salvaged Capacitor,0.21,31%,33%,,6%,,14%
32740,Watery Filter,0.005,,,,,,11%
32741,Extinguished Dynamo,0.038,,,21%,,,
32742,Haunted Diffuser,0.558,,,78%,,19%,52%
32743,Haunted Bulwark,0.468,20%,,42%,51%,13%,
32744,Crimson Capacitor,0.154,34%,33%,6%,,,11%
32745,Cursed Energy Field,0.28,,33%,,42%,,
32746,Nanite-Marked Stasis Tank,0.25,,33%,,,,
32747,Non-compliant Shield Tanks,0.189,31%,33%,10%,12%,,
32748,Relinquished Stasis Tank,0.118,,,,36%,,
32749,Writhing Harmoniser,0.061,,33%,11%,6%,,12%
32750,Released Loom,0.496,15%,,68%,15%,,53%
32751,Watery Bulwark,0.081,,33%,10%,11%,6%,
32752,Forsaken Turbine,0.039,,,,,9%,
32753,Rescued Turbine,0.25,,33%,,,,
32754,Haunted Capacitor,0.337,32%,,,2%,8%,41%
32755,Salvaged Load Balancer,0.026,,,,,8%,
32756,Aeronic Stabiliser,0.054,,,,17%,,
32757,Relinquished Exhaust,0.116,,33%,18%,8%,8%,
32758,Crimson Battery,0.5,,33%,,,25%,
32759,Impossible Stabiliser,0.184,,,,,20%,
32760,Released Shield Tanks,0.34,,33%,,,,43%
32761,Polymorphous Shield Tanks,0.008,,,,3%,,10%
32762,Writhing Filter,0.482,,33%,78%,,,35%
32763,Nanite-Marked Load Balancer,0.195,31%,,16%,10%,8%,
32764,Doomed Stabiliser,0.153,17%,33%,,,,
32765,Polymorphous Shield Tanks,0.25,,33%,,,,
32766,Relinquished Bulwark,0.202,,,67%,,,10%
32767,Cursed Generator,0.124,,,5%,45%,,
32768,Glassy Capacitor,0.223,,,,67%,,
32769,Extinguished Capacitor,0.178,,,,44%,,11%
32770,Writhing Harvester,0.043,,,23%,,,
32771,Watery Diffuser,0.23,33%,,,,,
32772,Aeronic Heat Sink,0.003,,,,2%,,
32773,Cursed Heat Sink,0,,,,,,10%
32774,Anointed Load Balancer,0.066,,,,,11%,
32775,Released Energy Field,0.041,,,,13%,,
32776,Haunted Turbine,0.251,,,,62%,,11%
32777,Nanite-Marked Turbine,0.04,14%,,,,,
32778,Nanite-Marked Bulwark,0.107,,,,,,31%
32779,Haunted Diffuser,0.198,32%,33%,9%,,8%,
32780,Forsaken Load Balancer,0.181,32%,,,7%,7%,11%
32781,Non-compliant Capacitor,0,10%,,,,,
32782,Writhing Capacitor,0.306,34%,,,,9%,
32783,Nanite-Marked Filter,0.402,28%,33%,45%,,7%,
32784,Non-compliant Load Balancer,0.14,24%,,,,,
32785,Released Capacitor,0.25,,33%,,,,
32786,Impossible Exhaust,0.002,,,6%,,,
32787,Relinquished Diffuser,0.084,,,40%,,,
32788,Rescued Diffuser,0.224,,,,,23%,
32789,Glassy Shield Tanks,0.017,,,12%,,,
32790,Watery Diffuser,0.12,,,55%,,,
32791,Writhing Load Balancer,0.18,31%,,12%,,8%,15%
32792,Nanite-Marked Harvester,0.039,,,,,9%,
32793,Relinquished Battery,0.305,,33%,71%,7%,,
32794,Polymorphous Bulwark,0.107,,,19%,,18%,
32795,Non-compliant Turbine,0.056,,,,,,21%
32796,Writhing Filter,0.003,,,,2%,,
32797,Salvaged Dynamo,0.134,34%,,,3%,,
32798,Forsaken Load Balancer,0.26,,33%,,,,35%
32799,Anointed Turbine,0.549,12%,33%,,64%,6%,
32800,Aeronic Harmoniser,0.07,17%,,,,,
32801,Haunted Heat Sink,0.25,,33%,,,,
32802,Doomed Stasis Tank,0.184,,,,,,46%
32803,Watery Diffuser,0.18,28%,,,,,
32804,Salvaged Harvester,0,,,,,,10%
32805,Polymorphous Dynamo,0.036,,,20%,,,
32806,Anointed Exhaust,0.004,,,,2%,,10%
32807,Extinguished Harmoniser,0.25,,,,,25%,
32808,Haunted Bulwark,0.003,,,,2%,,
32809,Polymorphous Heat Sink,0.194,,,,,,48%
32810,Writhing Load Balancer,0.238,30%,,,,,25%
32811,Anomalous Capacitor,0,,,,,,10%
32812,Watery Battery,0.108,,33%,5%,,,31%
32813,Impossible Stabiliser,0.229,24%,,,21%,8%,
32814,Anointed Turbine,0.06,,,30%,,,
32815,Haunted Dampener,0.337,,33%,59%,,7%,
32816,Anomalous Generator,0.245,,,,,,58%
32817,Rescued Generator,0.25,,33%,,,,
32818,Watery Exhaust,0.047,,,,15%,,
32819,Forsaken Capacitor,0.116,,,15%,,24%,
