sep=,
Seed,Name,Perfection,Ship_Launcher_TakeOffCost,Ship_Launcher_AutoCharge
5623,Timeless Jelly,1.0,-20%,Enabled
5624,Conscious Coils,1.0,-20%,Enabled
5625,Conscious Clusters,1.0,-20%,Enabled
5626,Celestial Lobes,1.0,-20%,Enabled
5627,Impossible Jelly,1.0,-20%,Enabled
5628,Imagined Coils,1.0,-20%,Enabled
5629,Conscious Clusters,1.0,-20%,Enabled
5630,Timeless Membrane,1.0,-20%,Enabled
5631,Celestial Brain Node,1.0,-20%,Enabled
5632,Conscious Brain Node,1.0,-20%,Enabled
5633,Celestial Bio-Anomaly,1.0,-20%,Enabled
5634,Imagined Membrane,1.0,-20%,Enabled
5635,Timeless Brain Node,1.0,-20%,Enabled
5636,Conscious Nodules,1.0,-20%,Enabled
5637,Celestial Jelly,1.0,-20%,Enabled
5638,Imagined Brain Node,1.0,-20%,Enabled
5639,Impossible Membrane,1.0,-20%,Enabled
5640,Timeless Clusters,1.0,-20%,Enabled
5641,Celestial Brain Node,1.0,-20%,Enabled
5642,Impossible Lobes,1.0,-20%,Enabled
5643,Conscious Bio-Anomaly,1.0,-20%,Enabled
5644,Conscious Membrane,1.0,-20%,Enabled
5645,Celestial Brain Node,1.0,-20%,Enabled
5646,Celestial Coils,1.0,-20%,Enabled
5647,Timeless Membrane,1.0,-20%,Enabled
5648,Timeless Nodules,1.0,-20%,Enabled
5649,Impossible Clusters,1.0,-20%,Enabled
5650,Imagined Tendril,1.0,-20%,Enabled
5651,Celestial Nodules,1.0,-20%,Enabled
5652,Timeless Membrane,1.0,-20%,Enabled
5653,Conscious Lobes,1.0,-20%,Enabled
5654,Imagined Nodules,1.0,-20%,Enabled
5655,Conscious Brain Node,1.0,-20%,Enabled
5656,Impossible Coils,1.0,-20%,Enabled
5657,Celestial Brain Node,1.0,-20%,Enabled
5658,Conscious Clusters,1.0,-20%,Enabled
5659,Imagined Membrane,1.0,-20%,Enabled
5660,Celestial Brain Node,1.0,-20%,Enabled
5661,Conscious Lobes,1.0,-20%,Enabled
5662,Imagined Brain Node,1.0,-20%,Enabled
5663,Timeless Brain Node,1.0,-20%,Enabled
5664,Celestial Nodules,1.0,-20%,Enabled
5665,Conscious Tendril,1.0,-20%,Enabled
5666,Impossible Coils,1.0,-20%,Enabled
5667,Timeless Coils,1.0,-20%,Enabled
5668,Conscious Bio-Anomaly,1.0,-20%,Enabled
5669,Impossible Bio-Anomaly,1.0,-20%,Enabled
5670,Imagined Bio-Anomaly,1.0,-20%,Enabled
5671,Celestial Bio-Anomaly,1.0,-20%,Enabled
5672,Celestial Membrane,1.0,-20%,Enabled
5673,Celestial Coils,1.0,-20%,Enabled
5674,Conscious Jelly,1.0,-20%,Enabled
5675,Impossible Jelly,1.0,-20%,Enabled
5676,Celestial Bio-Anomaly,1.0,-20%,Enabled
5677,Impossible Bio-Anomaly,1.0,-20%,Enabled
5678,Impossible Lobes,1.0,-20%,Enabled
5679,Celestial Bio-Anomaly,1.0,-20%,Enabled
5680,Impossible Coils,1.0,-20%,Enabled
5681,Impossible Membrane,1.0,-20%,Enabled
5682,Imagined Coils,1.0,-20%,Enabled
5683,Impossible Nodules,1.0,-20%,Enabled
5684,Timeless Tendril,1.0,-20%,Enabled
5685,Celestial Coils,1.0,-20%,Enabled
5686,Imagined Jelly,1.0,-20%,Enabled
5687,Celestial Jelly,1.0,-20%,Enabled
5688,Conscious Brain Node,1.0,-20%,Enabled
5689,Imagined Brain Node,1.0,-20%,Enabled
5690,Celestial Lobes,1.0,-20%,Enabled
5691,Impossible Nodules,1.0,-20%,Enabled
5692,Celestial Clusters,1.0,-20%,Enabled
5693,Celestial Coils,1.0,-20%,Enabled
5694,Imagined Clusters,1.0,-20%,Enabled
5695,Conscious Nodules,1.0,-20%,Enabled
5696,Imagined Membrane,1.0,-20%,Enabled
5697,Celestial Membrane,1.0,-20%,Enabled
5698,Conscious Brain Node,1.0,-20%,Enabled
5699,Conscious Brain Node,1.0,-20%,Enabled
5700,Celestial Tendril,1.0,-20%,Enabled
5701,Imagined Brain Node,1.0,-20%,Enabled
5702,Imagined Clusters,1.0,-20%,Enabled
5703,Celestial Jelly,1.0,-20%,Enabled
5704,Celestial Jelly,1.0,-20%,Enabled
5705,Timeless Jelly,1.0,-20%,Enabled
5706,Impossible Membrane,1.0,-20%,Enabled
5707,Celestial Coils,1.0,-20%,Enabled
5708,Impossible Clusters,1.0,-20%,Enabled
5709,Conscious Tendril,1.0,-20%,Enabled
5710,Conscious Lobes,1.0,-20%,Enabled
5711,Conscious Jelly,1.0,-20%,Enabled
5712,Timeless Membrane,1.0,-20%,Enabled
5713,Impossible Membrane,1.0,-20%,Enabled
5714,Celestial Coils,1.0,-20%,Enabled
5715,Celestial Membrane,1.0,-20%,Enabled
5716,Celestial Coils,1.0,-20%,Enabled
5717,Impossible Brain Node,1.0,-20%,Enabled
5718,Conscious Clusters,1.0,-20%,Enabled
5719,Celestial Coils,1.0,-20%,Enabled
5720,Timeless Coils,1.0,-20%,Enabled
5721,Impossible Bio-Anomaly,1.0,-20%,Enabled
5722,Imagined Jelly,1.0,-20%,Enabled
5723,Conscious Brain Node,1.0,-20%,Enabled
5724,Impossible Clusters,1.0,-20%,Enabled
5725,Conscious Bio-Anomaly,1.0,-20%,Enabled
5726,Impossible Tendril,1.0,-20%,Enabled
5727,Timeless Membrane,1.0,-20%,Enabled
5728,Conscious Lobes,1.0,-20%,Enabled
5729,Impossible Lobes,1.0,-20%,Enabled
5730,Impossible Lobes,1.0,-20%,Enabled
5731,Celestial Coils,1.0,-20%,Enabled
5732,Conscious Lobes,1.0,-20%,Enabled
5733,Conscious Jelly,1.0,-20%,Enabled
5734,Celestial Bio-Anomaly,1.0,-20%,Enabled
5735,Timeless Tendril,1.0,-20%,Enabled
5736,Imagined Tendril,1.0,-20%,Enabled
5737,Timeless Bio-Anomaly,1.0,-20%,Enabled
5738,Impossible Bio-Anomaly,1.0,-20%,Enabled
5739,Conscious Brain Node,1.0,-20%,Enabled
5740,Impossible Brain Node,1.0,-20%,Enabled
5741,Imagined Lobes,1.0,-20%,Enabled
5742,Conscious Jelly,1.0,-20%,Enabled
5743,Timeless Clusters,1.0,-20%,Enabled
5744,Timeless Tendril,1.0,-20%,Enabled
5745,Conscious Brain Node,1.0,-20%,Enabled
5746,Impossible Lobes,1.0,-20%,Enabled
5747,Imagined Lobes,1.0,-20%,Enabled
5748,Impossible Membrane,1.0,-20%,Enabled
5749,Imagined Jelly,1.0,-20%,Enabled
5750,Imagined Coils,1.0,-20%,Enabled
5751,Imagined Nodules,1.0,-20%,Enabled
5752,Impossible Jelly,1.0,-20%,Enabled
5753,Celestial Nodules,1.0,-20%,Enabled
5754,Impossible Tendril,1.0,-20%,Enabled
5755,Conscious Lobes,1.0,-20%,Enabled
5756,Celestial Lobes,1.0,-20%,Enabled
5757,Impossible Jelly,1.0,-20%,Enabled
5758,Timeless Nodules,1.0,-20%,Enabled
5759,Timeless Brain Node,1.0,-20%,Enabled
5760,Imagined Brain Node,1.0,-20%,Enabled
5761,Celestial Brain Node,1.0,-20%,Enabled
5762,Celestial Lobes,1.0,-20%,Enabled
5763,Celestial Brain Node,1.0,-20%,Enabled
5764,Celestial Tendril,1.0,-20%,Enabled
5765,Celestial Membrane,1.0,-20%,Enabled
5766,Conscious Brain Node,1.0,-20%,Enabled
5767,Impossible Clusters,1.0,-20%,Enabled
5768,Conscious Brain Node,1.0,-20%,Enabled
5769,Celestial Jelly,1.0,-20%,Enabled
5770,Timeless Lobes,1.0,-20%,Enabled
5771,Conscious Brain Node,1.0,-20%,Enabled
5772,Impossible Brain Node,1.0,-20%,Enabled
5773,Impossible Lobes,1.0,-20%,Enabled
5774,Timeless Tendril,1.0,-20%,Enabled
5775,Impossible Coils,1.0,-20%,Enabled
5776,Impossible Lobes,1.0,-20%,Enabled
5777,Conscious Tendril,1.0,-20%,Enabled
5778,Celestial Brain Node,1.0,-20%,Enabled
5779,Timeless Brain Node,1.0,-20%,Enabled
5780,Impossible Brain Node,1.0,-20%,Enabled
5781,Celestial Tendril,1.0,-20%,Enabled
5782,Celestial Jelly,1.0,-20%,Enabled
5783,Celestial Brain Node,1.0,-20%,Enabled
5784,Conscious Nodules,1.0,-20%,Enabled
5785,Celestial Coils,1.0,-20%,Enabled
5786,Celestial Lobes,1.0,-20%,Enabled
5787,Celestial Coils,1.0,-20%,Enabled
5788,Celestial Jelly,1.0,-20%,Enabled
5789,Imagined Bio-Anomaly,1.0,-20%,Enabled
5790,Timeless Brain Node,1.0,-20%,Enabled
5791,Imagined Clusters,1.0,-20%,Enabled
5792,Impossible Coils,1.0,-20%,Enabled
5793,Celestial Nodules,1.0,-20%,Enabled
5794,Imagined Lobes,1.0,-20%,Enabled
5795,Impossible Nodules,1.0,-20%,Enabled
5796,Impossible Membrane,1.0,-20%,Enabled
5797,Celestial Tendril,1.0,-20%,Enabled
5798,Timeless Coils,1.0,-20%,Enabled
5799,Impossible Tendril,1.0,-20%,Enabled
5800,Celestial Jelly,1.0,-20%,Enabled
5801,Imagined Tendril,1.0,-20%,Enabled
5802,Conscious Tendril,1.0,-20%,Enabled
5803,Timeless Brain Node,1.0,-20%,Enabled
5804,Imagined Coils,1.0,-20%,Enabled
5805,Conscious Bio-Anomaly,1.0,-20%,Enabled
5806,Celestial Membrane,1.0,-20%,Enabled
5807,Conscious Tendril,1.0,-20%,Enabled
5808,Impossible Brain Node,1.0,-20%,Enabled
5809,Imagined Jelly,1.0,-20%,Enabled
5810,Imagined Jelly,1.0,-20%,Enabled
5811,Impossible Brain Node,1.0,-20%,Enabled
5812,Impossible Tendril,1.0,-20%,Enabled
5813,Celestial Lobes,1.0,-20%,Enabled
5814,Conscious Membrane,1.0,-20%,Enabled
5815,Imagined Jelly,1.0,-20%,Enabled
5816,Imagined Clusters,1.0,-20%,Enabled
5817,Timeless Nodules,1.0,-20%,Enabled
5818,Conscious Membrane,1.0,-20%,Enabled
5819,Impossible Jelly,1.0,-20%,Enabled
5820,Timeless Brain Node,1.0,-20%,Enabled
5821,Conscious Nodules,1.0,-20%,Enabled
5822,Impossible Tendril,1.0,-20%,Enabled
5823,Imagined Brain Node,1.0,-20%,Enabled
5824,Conscious Lobes,1.0,-20%,Enabled
5825,Impossible Coils,1.0,-20%,Enabled
5826,Celestial Bio-Anomaly,1.0,-20%,Enabled
5827,Conscious Bio-Anomaly,1.0,-20%,Enabled
5828,Conscious Membrane,1.0,-20%,Enabled
5829,Imagined Lobes,1.0,-20%,Enabled
5830,Conscious Brain Node,1.0,-20%,Enabled
5831,Timeless Membrane,1.0,-20%,Enabled
5832,Conscious Clusters,1.0,-20%,Enabled
5833,Celestial Brain Node,1.0,-20%,Enabled
5834,Celestial Jelly,1.0,-20%,Enabled
5835,Timeless Jelly,1.0,-20%,Enabled
5836,Celestial Brain Node,1.0,-20%,Enabled
5837,Celestial Coils,1.0,-20%,Enabled
5838,Impossible Jelly,1.0,-20%,Enabled
5839,Imagined Membrane,1.0,-20%,Enabled
5840,Imagined Lobes,1.0,-20%,Enabled
5841,Conscious Coils,1.0,-20%,Enabled
5842,Imagined Clusters,1.0,-20%,Enabled
5843,Celestial Brain Node,1.0,-20%,Enabled
5844,Imagined Brain Node,1.0,-20%,Enabled
5845,Timeless Brain Node,1.0,-20%,Enabled
5846,Impossible Brain Node,1.0,-20%,Enabled
5847,Timeless Brain Node,1.0,-20%,Enabled
5848,Conscious Jelly,1.0,-20%,Enabled
5849,Impossible Membrane,1.0,-20%,Enabled
5850,Imagined Tendril,1.0,-20%,Enabled
5851,Celestial Coils,1.0,-20%,Enabled
5852,Timeless Brain Node,1.0,-20%,Enabled
5853,Conscious Lobes,1.0,-20%,Enabled
5854,Impossible Coils,1.0,-20%,Enabled
5855,Conscious Brain Node,1.0,-20%,Enabled
5856,Timeless Membrane,1.0,-20%,Enabled
5857,Impossible Clusters,1.0,-20%,Enabled
5858,Conscious Brain Node,1.0,-20%,Enabled
5859,Celestial Jelly,1.0,-20%,Enabled
5860,Impossible Lobes,1.0,-20%,Enabled
5861,Celestial Brain Node,1.0,-20%,Enabled
5862,Impossible Membrane,1.0,-20%,Enabled
5863,Conscious Coils,1.0,-20%,Enabled
5864,Conscious Brain Node,1.0,-20%,Enabled
5865,Celestial Brain Node,1.0,-20%,Enabled
5866,Impossible Brain Node,1.0,-20%,Enabled
5867,Timeless Tendril,1.0,-20%,Enabled
5868,Celestial Coils,1.0,-20%,Enabled
5869,Celestial Lobes,1.0,-20%,Enabled
5870,Celestial Lobes,1.0,-20%,Enabled
5871,Impossible Coils,1.0,-20%,Enabled
5872,Impossible Brain Node,1.0,-20%,Enabled
5873,Imagined Tendril,1.0,-20%,Enabled
5874,Timeless Clusters,1.0,-20%,Enabled
5875,Impossible Clusters,1.0,-20%,Enabled
5876,Timeless Brain Node,1.0,-20%,Enabled
5877,Impossible Lobes,1.0,-20%,Enabled
5878,Celestial Bio-Anomaly,1.0,-20%,Enabled
5879,Imagined Coils,1.0,-20%,Enabled
5880,Impossible Clusters,1.0,-20%,Enabled
5881,Impossible Lobes,1.0,-20%,Enabled
5882,Impossible Bio-Anomaly,1.0,-20%,Enabled
5883,Imagined Coils,1.0,-20%,Enabled
5884,Timeless Membrane,1.0,-20%,Enabled
5885,Conscious Tendril,1.0,-20%,Enabled
5886,Conscious Coils,1.0,-20%,Enabled
5887,Conscious Brain Node,1.0,-20%,Enabled
5888,Imagined Jelly,1.0,-20%,Enabled
5889,Impossible Lobes,1.0,-20%,Enabled
5890,Timeless Tendril,1.0,-20%,Enabled
5891,Timeless Lobes,1.0,-20%,Enabled
5892,Timeless Brain Node,1.0,-20%,Enabled
5893,Conscious Membrane,1.0,-20%,Enabled
5894,Impossible Brain Node,1.0,-20%,Enabled
5895,Timeless Tendril,1.0,-20%,Enabled
5896,Celestial Brain Node,1.0,-20%,Enabled
5897,Celestial Lobes,1.0,-20%,Enabled
5898,Timeless Clusters,1.0,-20%,Enabled
5899,Celestial Clusters,1.0,-20%,Enabled
5900,Impossible Coils,1.0,-20%,Enabled
5901,Celestial Lobes,1.0,-20%,Enabled
5902,Impossible Brain Node,1.0,-20%,Enabled
5903,Imagined Jelly,1.0,-20%,Enabled
5904,Conscious Brain Node,1.0,-20%,Enabled
5905,Timeless Coils,1.0,-20%,Enabled
5906,Conscious Brain Node,1.0,-20%,Enabled
5907,Conscious Membrane,1.0,-20%,Enabled
5908,Imagined Tendril,1.0,-20%,Enabled
5909,Impossible Tendril,1.0,-20%,Enabled
5910,Timeless Coils,1.0,-20%,Enabled
5911,Imagined Lobes,1.0,-20%,Enabled
5912,Celestial Bio-Anomaly,1.0,-20%,Enabled
5913,Impossible Tendril,1.0,-20%,Enabled
5914,Impossible Tendril,1.0,-20%,Enabled
5915,Celestial Clusters,1.0,-20%,Enabled
5916,Celestial Jelly,1.0,-20%,Enabled
5917,Celestial Tendril,1.0,-20%,Enabled
5918,Celestial Clusters,1.0,-20%,Enabled
5919,Impossible Clusters,1.0,-20%,Enabled
5920,Imagined Membrane,1.0,-20%,Enabled
5921,Celestial Brain Node,1.0,-20%,Enabled
5922,Impossible Brain Node,1.0,-20%,Enabled
5923,Timeless Jelly,1.0,-20%,Enabled
5924,Impossible Nodules,1.0,-20%,Enabled
5925,Timeless Lobes,1.0,-20%,Enabled
5926,Timeless Nodules,1.0,-20%,Enabled
5927,Conscious Clusters,1.0,-20%,Enabled
5928,Celestial Jelly,1.0,-20%,Enabled
5929,Impossible Tendril,1.0,-20%,Enabled
5930,Imagined Coils,1.0,-20%,Enabled
5931,Timeless Coils,1.0,-20%,Enabled
5932,Celestial Brain Node,1.0,-20%,Enabled
5933,Celestial Lobes,1.0,-20%,Enabled
5934,Conscious Membrane,1.0,-20%,Enabled
5935,Imagined Membrane,1.0,-20%,Enabled
5936,Impossible Lobes,1.0,-20%,Enabled
5937,Impossible Lobes,1.0,-20%,Enabled
5938,Imagined Jelly,1.0,-20%,Enabled
5939,Timeless Brain Node,1.0,-20%,Enabled
5940,Celestial Bio-Anomaly,1.0,-20%,Enabled
5941,Imagined Brain Node,1.0,-20%,Enabled
5942,Timeless Brain Node,1.0,-20%,Enabled
5943,Celestial Brain Node,1.0,-20%,Enabled
5944,Imagined Tendril,1.0,-20%,Enabled
5945,Timeless Nodules,1.0,-20%,Enabled
5946,Celestial Coils,1.0,-20%,Enabled
5947,Celestial Membrane,1.0,-20%,Enabled
5948,Conscious Coils,1.0,-20%,Enabled
5949,Timeless Tendril,1.0,-20%,Enabled
5950,Imagined Coils,1.0,-20%,Enabled
5951,Timeless Bio-Anomaly,1.0,-20%,Enabled
5952,Celestial Bio-Anomaly,1.0,-20%,Enabled
5953,Conscious Coils,1.0,-20%,Enabled
5954,Timeless Lobes,1.0,-20%,Enabled
5955,Timeless Clusters,1.0,-20%,Enabled
5956,Impossible Bio-Anomaly,1.0,-20%,Enabled
5957,Imagined Clusters,1.0,-20%,Enabled
5958,Conscious Bio-Anomaly,1.0,-20%,Enabled
5959,Celestial Nodules,1.0,-20%,Enabled
5960,Conscious Jelly,1.0,-20%,Enabled
5961,Impossible Bio-Anomaly,1.0,-20%,Enabled
5962,Impossible Brain Node,1.0,-20%,Enabled
5963,Celestial Lobes,1.0,-20%,Enabled
5964,Impossible Jelly,1.0,-20%,Enabled
5965,Impossible Brain Node,1.0,-20%,Enabled
5966,Impossible Tendril,1.0,-20%,Enabled
5967,Imagined Tendril,1.0,-20%,Enabled
5968,Imagined Brain Node,1.0,-20%,Enabled
5969,Imagined Coils,1.0,-20%,Enabled
5970,Conscious Clusters,1.0,-20%,Enabled
5971,Conscious Clusters,1.0,-20%,Enabled
5972,Celestial Brain Node,1.0,-20%,Enabled
5973,Timeless Jelly,1.0,-20%,Enabled
5974,Celestial Brain Node,1.0,-20%,Enabled
5975,Conscious Coils,1.0,-20%,Enabled
5976,Conscious Clusters,1.0,-20%,Enabled
5977,Conscious Clusters,1.0,-20%,Enabled
5978,Impossible Bio-Anomaly,1.0,-20%,Enabled
5979,Conscious Brain Node,1.0,-20%,Enabled
5980,Conscious Lobes,1.0,-20%,Enabled
5981,Timeless Tendril,1.0,-20%,Enabled
5982,Timeless Lobes,1.0,-20%,Enabled
5983,Impossible Lobes,1.0,-20%,Enabled
5984,Conscious Membrane,1.0,-20%,Enabled
5985,Imagined Lobes,1.0,-20%,Enabled
5986,Imagined Lobes,1.0,-20%,Enabled
5987,Conscious Bio-Anomaly,1.0,-20%,Enabled
5988,Impossible Brain Node,1.0,-20%,Enabled
5989,Celestial Brain Node,1.0,-20%,Enabled
5990,Impossible Coils,1.0,-20%,Enabled
5991,Celestial Coils,1.0,-20%,Enabled
5992,Conscious Brain Node,1.0,-20%,Enabled
5993,Impossible Jelly,1.0,-20%,Enabled
5994,Impossible Membrane,1.0,-20%,Enabled
5995,Timeless Coils,1.0,-20%,Enabled
5996,Celestial Brain Node,1.0,-20%,Enabled
5997,Impossible Nodules,1.0,-20%,Enabled
5998,Celestial Bio-Anomaly,1.0,-20%,Enabled
5999,Impossible Jelly,1.0,-20%,Enabled
6000,Conscious Membrane,1.0,-20%,Enabled
6001,Conscious Coils,1.0,-20%,Enabled
6002,Imagined Coils,1.0,-20%,Enabled
6003,Celestial Membrane,1.0,-20%,Enabled
6004,Imagined Nodules,1.0,-20%,Enabled
6005,Imagined Coils,1.0,-20%,Enabled
6006,Timeless Nodules,1.0,-20%,Enabled
6007,Impossible Brain Node,1.0,-20%,Enabled
6008,Imagined Nodules,1.0,-20%,Enabled
6009,Timeless Jelly,1.0,-20%,Enabled
6010,Imagined Clusters,1.0,-20%,Enabled
6011,Impossible Clusters,1.0,-20%,Enabled
6012,Conscious Coils,1.0,-20%,Enabled
6013,Conscious Jelly,1.0,-20%,Enabled
6014,Impossible Clusters,1.0,-20%,Enabled
6015,Conscious Brain Node,1.0,-20%,Enabled
6016,Celestial Clusters,1.0,-20%,Enabled
6017,Conscious Membrane,1.0,-20%,Enabled
6018,Conscious Brain Node,1.0,-20%,Enabled
6019,Imagined Membrane,1.0,-20%,Enabled
6020,Celestial Membrane,1.0,-20%,Enabled
6021,Imagined Nodules,1.0,-20%,Enabled
6022,Conscious Bio-Anomaly,1.0,-20%,Enabled
6023,Timeless Bio-Anomaly,1.0,-20%,Enabled
6024,Imagined Tendril,1.0,-20%,Enabled
6025,Imagined Bio-Anomaly,1.0,-20%,Enabled
6026,Imagined Brain Node,1.0,-20%,Enabled
6027,Conscious Bio-Anomaly,1.0,-20%,Enabled
6028,Conscious Coils,1.0,-20%,Enabled
6029,Impossible Tendril,1.0,-20%,Enabled
6030,Timeless Lobes,1.0,-20%,Enabled
6031,Conscious Brain Node,1.0,-20%,Enabled
6032,Timeless Coils,1.0,-20%,Enabled
6033,Timeless Membrane,1.0,-20%,Enabled
6034,Impossible Tendril,1.0,-20%,Enabled
6035,Timeless Nodules,1.0,-20%,Enabled
6036,Timeless Nodules,1.0,-20%,Enabled
6037,Timeless Tendril,1.0,-20%,Enabled
6038,Impossible Coils,1.0,-20%,Enabled
6039,Celestial Jelly,1.0,-20%,Enabled
6040,Celestial Clusters,1.0,-20%,Enabled
6041,Conscious Membrane,1.0,-20%,Enabled
6042,Conscious Brain Node,1.0,-20%,Enabled
6043,Imagined Jelly,1.0,-20%,Enabled
6044,Impossible Jelly,1.0,-20%,Enabled
6045,Impossible Clusters,1.0,-20%,Enabled
6046,Conscious Brain Node,1.0,-20%,Enabled
6047,Conscious Lobes,1.0,-20%,Enabled
6048,Imagined Bio-Anomaly,1.0,-20%,Enabled
6049,Conscious Coils,1.0,-20%,Enabled
6050,Impossible Jelly,1.0,-20%,Enabled
6051,Conscious Tendril,1.0,-20%,Enabled
6052,Timeless Brain Node,1.0,-20%,Enabled
6053,Impossible Bio-Anomaly,1.0,-20%,Enabled
6054,Imagined Tendril,1.0,-20%,Enabled
6055,Conscious Jelly,1.0,-20%,Enabled
6056,Timeless Jelly,1.0,-20%,Enabled
6057,Timeless Brain Node,1.0,-20%,Enabled
6058,Imagined Brain Node,1.0,-20%,Enabled
6059,Conscious Brain Node,1.0,-20%,Enabled
6060,Impossible Brain Node,1.0,-20%,Enabled
6061,Celestial Tendril,1.0,-20%,Enabled
6062,Imagined Nodules,1.0,-20%,Enabled
6063,Conscious Tendril,1.0,-20%,Enabled
6064,Timeless Clusters,1.0,-20%,Enabled
6065,Timeless Jelly,1.0,-20%,Enabled
6066,Conscious Coils,1.0,-20%,Enabled
6067,Celestial Brain Node,1.0,-20%,Enabled
6068,Impossible Tendril,1.0,-20%,Enabled
6069,Impossible Brain Node,1.0,-20%,Enabled
6070,Timeless Brain Node,1.0,-20%,Enabled
6071,Imagined Brain Node,1.0,-20%,Enabled
6072,Conscious Tendril,1.0,-20%,Enabled
6073,Imagined Brain Node,1.0,-20%,Enabled
6074,Celestial Lobes,1.0,-20%,Enabled
6075,Timeless Nodules,1.0,-20%,Enabled
6076,Imagined Tendril,1.0,-20%,Enabled
6077,Imagined Nodules,1.0,-20%,Enabled
6078,Celestial Brain Node,1.0,-20%,Enabled
6079,Timeless Coils,1.0,-20%,Enabled
6080,Imagined Membrane,1.0,-20%,Enabled
6081,Conscious Brain Node,1.0,-20%,Enabled
6082,Imagined Brain Node,1.0,-20%,Enabled
6083,Celestial Lobes,1.0,-20%,Enabled
6084,Impossible Lobes,1.0,-20%,Enabled
6085,Timeless Lobes,1.0,-20%,Enabled
6086,Timeless Coils,1.0,-20%,Enabled
6087,Impossible Brain Node,1.0,-20%,Enabled
6088,Conscious Brain Node,1.0,-20%,Enabled
6089,Impossible Clusters,1.0,-20%,Enabled
6090,Impossible Brain Node,1.0,-20%,Enabled
6091,Imagined Tendril,1.0,-20%,Enabled
6092,Imagined Nodules,1.0,-20%,Enabled
6093,Timeless Coils,1.0,-20%,Enabled
6094,Celestial Lobes,1.0,-20%,Enabled
6095,Timeless Coils,1.0,-20%,Enabled
6096,Imagined Brain Node,1.0,-20%,Enabled
6097,Impossible Nodules,1.0,-20%,Enabled
6098,Timeless Tendril,1.0,-20%,Enabled
6099,Imagined Nodules,1.0,-20%,Enabled
6100,Celestial Lobes,1.0,-20%,Enabled
6101,Impossible Clusters,1.0,-20%,Enabled
6102,Conscious Brain Node,1.0,-20%,Enabled
6103,Imagined Lobes,1.0,-20%,Enabled
6104,Impossible Coils,1.0,-20%,Enabled
6105,Timeless Coils,1.0,-20%,Enabled
6106,Celestial Coils,1.0,-20%,Enabled
6107,Imagined Tendril,1.0,-20%,Enabled
6108,Conscious Jelly,1.0,-20%,Enabled
6109,Conscious Jelly,1.0,-20%,Enabled
6110,Imagined Jelly,1.0,-20%,Enabled
6111,Celestial Bio-Anomaly,1.0,-20%,Enabled
6112,Conscious Membrane,1.0,-20%,Enabled
6113,Conscious Jelly,1.0,-20%,Enabled
6114,Celestial Brain Node,1.0,-20%,Enabled
6115,Timeless Jelly,1.0,-20%,Enabled
6116,Impossible Brain Node,1.0,-20%,Enabled
6117,Impossible Bio-Anomaly,1.0,-20%,Enabled
6118,Impossible Coils,1.0,-20%,Enabled
6119,Timeless Membrane,1.0,-20%,Enabled
6120,Conscious Coils,1.0,-20%,Enabled
6121,Timeless Membrane,1.0,-20%,Enabled
6122,Conscious Lobes,1.0,-20%,Enabled
6123,Conscious Tendril,1.0,-20%,Enabled
6124,Imagined Clusters,1.0,-20%,Enabled
6125,Impossible Coils,1.0,-20%,Enabled
6126,Celestial Brain Node,1.0,-20%,Enabled
6127,Imagined Coils,1.0,-20%,Enabled
6128,Impossible Nodules,1.0,-20%,Enabled
6129,Conscious Nodules,1.0,-20%,Enabled
6130,Imagined Bio-Anomaly,1.0,-20%,Enabled
6131,Impossible Bio-Anomaly,1.0,-20%,Enabled
6132,Timeless Membrane,1.0,-20%,Enabled
6133,Imagined Jelly,1.0,-20%,Enabled
6134,Imagined Nodules,1.0,-20%,Enabled
6135,Timeless Jelly,1.0,-20%,Enabled
6136,Imagined Nodules,1.0,-20%,Enabled
6137,Conscious Clusters,1.0,-20%,Enabled
6138,Conscious Nodules,1.0,-20%,Enabled
6139,Impossible Membrane,1.0,-20%,Enabled
6140,Imagined Jelly,1.0,-20%,Enabled
6141,Impossible Coils,1.0,-20%,Enabled
6142,Timeless Tendril,1.0,-20%,Enabled
6143,Timeless Tendril,1.0,-20%,Enabled
6144,Impossible Clusters,1.0,-20%,Enabled
6145,Timeless Bio-Anomaly,1.0,-20%,Enabled
6146,Timeless Coils,1.0,-20%,Enabled
6147,Imagined Brain Node,1.0,-20%,Enabled
6148,Impossible Jelly,1.0,-20%,Enabled
6149,Timeless Lobes,1.0,-20%,Enabled
6150,Celestial Jelly,1.0,-20%,Enabled
6151,Timeless Brain Node,1.0,-20%,Enabled
6152,Celestial Membrane,1.0,-20%,Enabled
6153,Timeless Bio-Anomaly,1.0,-20%,Enabled
6154,Impossible Coils,1.0,-20%,Enabled
6155,Imagined Bio-Anomaly,1.0,-20%,Enabled
6156,Conscious Bio-Anomaly,1.0,-20%,Enabled
6157,Imagined Jelly,1.0,-20%,Enabled
6158,Conscious Tendril,1.0,-20%,Enabled
6159,Imagined Membrane,1.0,-20%,Enabled
6160,Imagined Nodules,1.0,-20%,Enabled
6161,Imagined Membrane,1.0,-20%,Enabled
6162,Celestial Jelly,1.0,-20%,Enabled
6163,Impossible Tendril,1.0,-20%,Enabled
6164,Celestial Brain Node,1.0,-20%,Enabled
6165,Impossible Tendril,1.0,-20%,Enabled
6166,Conscious Brain Node,1.0,-20%,Enabled
6167,Celestial Membrane,1.0,-20%,Enabled
6168,Timeless Lobes,1.0,-20%,Enabled
6169,Conscious Coils,1.0,-20%,Enabled
